recordid,name,cwid
02iPn000005ML4cIAG,HFMH_4N,2250
02iPn000005MLMLIA4,Supervisor Server,238
02iPn000005MOtgIAG,2_Alma College N4  Supervisor,595
02iPn000005MPRXIA4,3_OPS-HVAC - Niagara Supervisor and Trend 963 Automate Connection,294
02iPn000005MPRYIA4,Bolingbrook MUA-1 AX JACE,1023
02iPn000005MPeQIAW,2WR - 015,1226
02iPn000005MQU2IAO,Cisco Remote VPN Connection ***OLD***,1381
02iPn000005MR58IAG,1 - Ingham ISD - Remote VPN connection.,598
02iPn000005MRoIIAW,Power Meter Devos Wing,2001
02iPn000005MRoJIAW,PC202,2855
02iPn000005MRwNIAW,Otsego Public Schools Alamo AX JACE,511
02iPn000005MRy1IAG,Montabella Community Schools High School  N4 JACE 2,325
02iPn000005MSNmIAO,Fine Arts JACE,1738
02iPn000005MSNnIAO,BasSupSvr,2618
02iPn000005MT0VIAW,Oxbow Elementary,2318
02iPn000005MTQIIA4,Alpena County Airport N4 JACE,690
02iPn000005MTQJIA4,Alro Grayling MUA-1,1138
02iPn000005MTcmIAG,1 City of East Lansing - Remote Access VPN,276
02iPn000005MTcnIAG,Besser Company N4.7 Jace,379
02iPn000005MTjeIAG,Laingsburg Early Childhood N4 JACE,468
02iPn000005MUZGIA4,Bangor Twp Schools Christa McAuiliffe N4 JACE,666
02iPn000005MUZHIA4,Monitor - 007,1592
02iPn000005MUasIAG,WOPS South High School Boiler Room N4 JACE,695
02iPn000005MUatIAG,Meyer N4 JACE,1903
02iPn000005MUfkIAG,1 - Montabella Community Schools Remote Access,581
02iPn000005MUxSIAW,ClarkRet_JACE_06 Honeywell Webs AX JACE,3234
02iPn000005MVAOIA4,DESKTOP-JNMHENQ - Automate Connection,1194
02iPn000005MVAPIA4,N4 Jace Backup,2223
02iPn000005MVC2IAO,Temp./Humid Meters (Extech),2732
02iPn000005MVFCIA4,PC103,1062
02iPn000005MVQYIA4,Carrier I-Vu web access,1387
02iPn000005MVQZIA4,2 - Ford Campus AX Web Supervisor,2781
02iPn000005MVS6IAO,2 JACE,1998
02iPn000005MVruIAG,1 Holton Public Schools Remote Access,621
02iPn000005MW6QIAW,Merrill JACE located in Merrill Tool and Die / Saginaw,1135
02iPn000005MWBGIA4,PlasticOmnium,3110
02iPn000005MWROIA4,AQ_Albert_JACE_A2,3408
02iPn000005MWfxIAG,2 - City of Saginaw - Niagara 4 Server,278
02iPn000005MWj9IAG,Bldg 300 - Port Forwarding,1034
02iPn000005MWnzIAG,JACE Information (no remote access),779
02iPn000005MWuRIAW,West Catholic High Schools N4 JACE,568
02iPn000005MWw3IAG,Caledonia HS North - Fwing,645
02iPn000005MWw4IAG,Monitor - 043,1626
02iPn000005MX2WIAW,Mercantile Bank Novar IP connection,1254
02iPn000005MXIeIAO,"Muskegon Convention Center IP, Subnet, Gateway",1125
02iPn000005MXIfIAO,Haviland_Aaon (Corner Building),2004
02iPn000005MXKEIA4,*DOES NOT EXIST* 1.NPS-MAINT - Automate Connection,1179
02iPn000005MXNVIA4,AF_GROUP_3,268
02iPn000005MXP4IAO,Taubman Center JACE-08B,2770
02iPn000005MXQiIAO,2WR - 004,1220
02iPn000005MXSJIA4,Monitor - 031,1614
02iPn000005MXTuIAO,BOFF Barn JACE - Fountain MI,1949
02iPn000005MXTvIAO,Contact Tachometer - Contact RPM (Extech),2712
02iPn000005MXfDIAW,Library JACE,1484
02iPn000005MXiQIAW,N4 Web Supervisor RDP,892
02iPn000005MXvLIAW,Alpena County Jail AX JACE,682
02iPn000005MXvMIAW,Jace,2822
02iPn000005MXvNIAW,IQ3 - VAI Cleanroom,3087
02iPn000005MY51IAG,Thierica Display remote access,532
02iPn000005MY6cIAG,Bath Schools Niagara Supervisor,557
02iPn000005MY9qIAG,Plant JACE,1240
02iPn000005MY9rIAG,"Chiller Pumps_P5A,P5B,P5C",3273
02iPn000005MYBTIA4,MS VUV BACnet Router,2134
02iPn000005MYBUIA4,Thermo-Anemometer - Vane (Extech),2719
02iPn000005MYL8IAO,New Buffalo N4 JACE 2,505
02iPn000005MYTCIA4,Ludington Schools Remote Connection,484
02iPn000005MYY3IAO,Lakes main AX JACE,464
02iPn000005MYY8IAO,CSISERV,1068
02iPn000005MYjKIAW,1 GRPS - Remote Access VPN,764
